Epoch,step,loss,loss_classifier,loss_box_reg,loss_objectness,loss_rpn_box_reg
0,0,1.4868,0.7121,0.0234,0.7319,0.0194  
0,50,0.9624,0.2432,0.0663,0.5759,0.0770  
0,100,0.7563,0.2002,0.0877,0.4023,0.0661  
0,150,0.6619,0.1835,0.1024,0.3122,0.0638  
0,200,0.5847,0.1646,0.1009,0.2560,0.0632  
0,250,0.5236,0.1445,0.0920,0.2192,0.0678  
0,300,0.4768,0.1310,0.0873,0.1930,0.0656  
0,350,0.4405,0.1203,0.0835,0.1726,0.0641  
0,400,0.4166,0.1127,0.0812,0.1592,0.0636  
0,450,0.4001,0.1061,0.0786,0.1499,0.0655  
0,456,0.3979,0.1054,0.0782,0.1489,0.0655  
1,0,0.2813,0.0362,0.0361,0.0645,0.1446  
1,50,0.2249,0.0477,0.0562,0.0532,0.0678  
1,100,0.2228,0.0484,0.0583,0.0540,0.0620  
1,150,0.2095,0.0473,0.0570,0.0503,0.0549  
1,200,0.2076,0.0462,0.0560,0.0505,0.0550  
1,250,0.1978,0.0449,0.0555,0.0462,0.0513  
1,300,0.1956,0.0440,0.0549,0.0450,0.0517  
1,350,0.1913,0.0433,0.0545,0.0437,0.0498  
1,400,0.1877,0.0429,0.0540,0.0422,0.0485  
1,450,0.1853,0.0425,0.0537,0.0414,0.0476  
1,456,0.1849,0.0425,0.0537,0.0412,0.0475  
2,0,0.1527,0.0293,0.0371,0.0351,0.0512  
2,50,0.1620,0.0375,0.0505,0.0322,0.0418  
2,100,0.1619,0.0355,0.0498,0.0301,0.0465  
2,150,0.1565,0.0356,0.0493,0.0283,0.0433  
2,200,0.1520,0.0347,0.0484,0.0270,0.0419  
2,250,0.1527,0.0341,0.0478,0.0273,0.0435  
2,300,0.1518,0.0332,0.0472,0.0270,0.0443  
2,350,0.1494,0.0325,0.0469,0.0264,0.0435  
2,400,0.1486,0.0324,0.0468,0.0261,0.0433  
2,450,0.1489,0.0322,0.0466,0.0263,0.0438  
2,456,0.1485,0.0321,0.0466,0.0263,0.0436  
3,0,0.1025,0.0232,0.0309,0.0236,0.0249  
3,50,0.1214,0.0276,0.0426,0.0194,0.0319  
3,100,0.1235,0.0287,0.0437,0.0206,0.0305  
3,150,0.1233,0.0294,0.0446,0.0199,0.0294  
3,200,0.1233,0.0294,0.0439,0.0201,0.0300  
3,250,0.1230,0.0297,0.0445,0.0200,0.0289  
3,300,0.1221,0.0297,0.0444,0.0200,0.0281  
3,350,0.1217,0.0297,0.0443,0.0194,0.0283  
3,400,0.1213,0.0297,0.0440,0.0190,0.0286  
3,450,0.1206,0.0299,0.0441,0.0187,0.0279  
3,456,0.1205,0.0299,0.0441,0.0186,0.0278  
4,0,0.1016,0.0238,0.0489,0.0055,0.0234  
4,50,0.1072,0.0288,0.0435,0.0136,0.0213  
4,100,0.1075,0.0289,0.0429,0.0143,0.0214  
4,150,0.1121,0.0296,0.0436,0.0153,0.0236  
4,200,0.1129,0.0296,0.0436,0.0153,0.0243  
4,250,0.1134,0.0297,0.0437,0.0153,0.0246  
4,300,0.1137,0.0296,0.0435,0.0153,0.0252  
4,350,0.1140,0.0295,0.0433,0.0154,0.0257  
4,400,0.1143,0.0296,0.0437,0.0155,0.0256  
4,450,0.1153,0.0298,0.0438,0.0156,0.0261  
4,456,0.1150,0.0298,0.0437,0.0156,0.0259  
5,0,0.0815,0.0206,0.0349,0.0080,0.0180  
5,50,0.1118,0.0296,0.0442,0.0139,0.0242  
5,100,0.1151,0.0305,0.0449,0.0150,0.0247  
5,150,0.1139,0.0300,0.0440,0.0147,0.0252  
5,200,0.1153,0.0305,0.0450,0.0146,0.0253  
5,250,0.1150,0.0306,0.0444,0.0146,0.0254  
5,300,0.1139,0.0303,0.0441,0.0146,0.0250  
5,350,0.1140,0.0301,0.0439,0.0145,0.0254  
5,400,0.1145,0.0300,0.0439,0.0149,0.0256  
5,450,0.1137,0.0298,0.0436,0.0147,0.0256  
5,456,0.1136,0.0297,0.0436,0.0147,0.0256   
6,0,0.1316,0.0337,0.0333,0.0282,0.0364  
6,50,0.1100,0.0290,0.0404,0.0156,0.0250  
6,100,0.1089,0.0290,0.0414,0.0152,0.0232  
6,150,0.1089,0.0293,0.0419,0.0146,0.0230  
6,200,0.1085,0.0292,0.0420,0.0140,0.0232  
6,250,0.1092,0.0294,0.0425,0.0137,0.0236  
6,300,0.1090,0.0294,0.0424,0.0137,0.0234  
6,350,0.1095,0.0294,0.0424,0.0139,0.0238  
6,400,0.1088,0.0291,0.0422,0.0138,0.0236  
6,450,0.1092,0.0292,0.0423,0.0139,0.0238  
6,456,0.1090,0.0292,0.0423,0.0138,0.0237   
7,0,0.0793,0.0221,0.0362,0.0021,0.0189  
7,50,0.1141,0.0287,0.0413,0.0148,0.0293  
7,100,0.1106,0.0289,0.0422,0.0141,0.0255  
7,150,0.1096,0.0293,0.0420,0.0135,0.0248  
7,200,0.1089,0.0296,0.0422,0.0137,0.0235  
7,250,0.1096,0.0294,0.0425,0.0138,0.0238  
7,300,0.1111,0.0294,0.0425,0.0139,0.0252  
7,350,0.1095,0.0291,0.0420,0.0136,0.0247  
7,400,0.1091,0.0291,0.0417,0.0140,0.0242  
7,450,0.1084,0.0290,0.0419,0.0138,0.0236  
7,456,0.1091,0.0291,0.0420,0.0141,0.0239  
8,0,0.1037,0.0310,0.0436,0.0049,0.0241  
8,50,0.1079,0.0274,0.0407,0.0131,0.0267  
8,100,0.1044,0.0281,0.0407,0.0125,0.0230  
8,150,0.1047,0.0281,0.0411,0.0129,0.0226  
8,200,0.1066,0.0283,0.0412,0.0136,0.0235  
8,250,0.1085,0.0286,0.0412,0.0141,0.0245  
8,300,0.1093,0.0289,0.0419,0.0141,0.0243  
8,350,0.1087,0.0288,0.0417,0.0138,0.0244  
8,400,0.1077,0.0287,0.0416,0.0134,0.0240  
8,450,0.1077,0.0290,0.0419,0.0133,0.0235  
8,456,0.1077,0.0290,0.0419,0.0132,0.0236   
9,0,0.0988,0.0280,0.0415,0.0156,0.0136  
9,50,0.1042,0.0281,0.0418,0.0123,0.0220  
9,100,0.1043,0.0285,0.0415,0.0119,0.0225  
9,150,0.1055,0.0287,0.0417,0.0124,0.0227  
9,200,0.1070,0.0291,0.0425,0.0126,0.0229  
9,250,0.1073,0.0289,0.0424,0.0129,0.0231  
9,300,0.1073,0.0289,0.0421,0.0130,0.0232  
9,350,0.1076,0.0289,0.0419,0.0130,0.0237  
9,400,0.1077,0.0290,0.0419,0.0130,0.0237  
9,450,0.1076,0.0290,0.0419,0.0132,0.0235  
9,456,0.1077,0.0290,0.0419,0.0132,0.0236   
10,0,0.1075,0.0279,0.0351,0.0112,0.0334  
10,50,0.1093,0.0290,0.0426,0.0141,0.0237  
10,100,0.1088,0.0287,0.0422,0.0132,0.0247  
10,150,0.1096,0.0291,0.0424,0.0132,0.0249  
10,200,0.1074,0.0288,0.0421,0.0128,0.0237  
10,250,0.1070,0.0287,0.0417,0.0129,0.0237  
10,300,0.1067,0.0287,0.0418,0.0132,0.0229  
10,350,0.1058,0.0285,0.0417,0.0129,0.0226  
10,400,0.1062,0.0287,0.0418,0.0131,0.0227  
10,450,0.1066,0.0288,0.0416,0.0133,0.0230  
10,456,0.1069,0.0288,0.0417,0.0133,0.0231  
11,0,0.1166,0.0215,0.0227,0.0186,0.0538  
11,50,0.1032,0.0277,0.0415,0.0130,0.0210  
11,100,0.1056,0.0287,0.0424,0.0132,0.0213  
11,150,0.1088,0.0289,0.0426,0.0139,0.0234  
11,200,0.1085,0.0290,0.0420,0.0139,0.0236  
11,250,0.1083,0.0290,0.0417,0.0139,0.0237  
11,300,0.1077,0.0290,0.0415,0.0137,0.0235  
11,350,0.1075,0.0290,0.0415,0.0135,0.0235  
11,400,0.1076,0.0289,0.0414,0.0139,0.0235  
11,450,0.1080,0.0290,0.0415,0.0138,0.0237  
11,456,0.1079,0.0290,0.0416,0.0138,0.0236  
12,0,0.0808,0.0266,0.0304,0.0090,0.0149  
12,50,0.1082,0.0304,0.0421,0.0124,0.0233  
12,100,0.1083,0.0293,0.0416,0.0136,0.0239  
12,150,0.1080,0.0290,0.0417,0.0135,0.0238  
12,200,0.1074,0.0287,0.0416,0.0134,0.0236  
12,250,0.1070,0.0288,0.0415,0.0132,0.0235  
12,300,0.1080,0.0293,0.0419,0.0132,0.0236  
12,350,0.1065,0.0290,0.0415,0.0130,0.0231  
12,400,0.1072,0.0290,0.0416,0.0133,0.0233  
12,450,0.1078,0.0292,0.0419,0.0134,0.0234  
12,456,0.1078,0.0292,0.0420,0.0133,0.0233  
13,0,0.1032,0.0336,0.0524,0.0051,0.0121  
13,50,0.1046,0.0282,0.0432,0.0113,0.0219  
13,100,0.1053,0.0289,0.0430,0.0119,0.0215  
13,150,0.1069,0.0292,0.0428,0.0122,0.0226  
13,200,0.1058,0.0289,0.0423,0.0122,0.0224  
13,250,0.1071,0.0289,0.0423,0.0127,0.0233  
13,300,0.1073,0.0289,0.0421,0.0130,0.0233  
13,350,0.1080,0.0291,0.0421,0.0134,0.0234  
13,400,0.1082,0.0292,0.0421,0.0134,0.0234  
13,450,0.1072,0.0289,0.0417,0.0133,0.0233  
13,456,0.1071,0.0290,0.0418,0.0132,0.0231  
14,0,0.1317,0.0253,0.0422,0.0185,0.0458  
14,50,0.1076,0.0277,0.0420,0.0139,0.0240  
14,100,0.1050,0.0274,0.0417,0.0131,0.0227  
14,150,0.1043,0.0281,0.0415,0.0130,0.0217  
14,200,0.1046,0.0281,0.0419,0.0124,0.0221  
14,250,0.1068,0.0289,0.0424,0.0129,0.0226  
14,300,0.1068,0.0288,0.0423,0.0128,0.0229  
14,350,0.1075,0.0288,0.0421,0.0132,0.0235  
14,400,0.1068,0.0288,0.0418,0.0130,0.0232  
14,450,0.1069,0.0289,0.0418,0.0131,0.0231  
14,456,0.1068,0.0288,0.0418,0.0131,0.0231  
15,0,0.1219,0.0266,0.0345,0.0111,0.0497  
15,50,0.1076,0.0300,0.0412,0.0122,0.0241  
15,100,0.1057,0.0297,0.0413,0.0121,0.0226  
15,150,0.1078,0.0298,0.0418,0.0133,0.0229  
15,200,0.1085,0.0295,0.0414,0.0140,0.0235  
15,250,0.1087,0.0296,0.0420,0.0136,0.0235  
15,300,0.1081,0.0293,0.0418,0.0136,0.0234  
15,350,0.1075,0.0292,0.0418,0.0134,0.0230  
15,400,0.1075,0.0292,0.0418,0.0133,0.0233  
15,450,0.1069,0.0290,0.0416,0.0132,0.0231  
15,456,0.1069,0.0290,0.0417,0.0131,0.0231  
